2011 census qs407ew - number of rooms,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All occupied household spaces,,,,,,,,,
units,Household spaces,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Number of rooms,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
"uacounty09:Rhondda, Cynon, Taff","99,663",235,"1,074","5,039","16,400","33,252","23,915","9,825","5,581","4,342"
uacounty09:Merthyr Tydfil,"24,264",63,410,"1,260","4,126","8,600","5,685","2,066","1,197",857
uacounty09:Caerphilly,"74,479",92,796,"3,992","11,582","25,295","18,800","7,318","3,786","2,818"
uacounty09:Blaenau Gwent,"30,416",88,397,"1,864","6,314","11,236","6,702","2,115","1,012",688
uacounty09:Torfaen,"38,524",103,457,"2,620","6,482","11,024","9,828","4,255","2,144","1,611"
uacounty09:Monmouthshire,"38,233",93,494,"2,468","4,818","7,609","8,050","5,505","4,164","5,032"
uacounty09:Newport,"61,172",322,"1,208","4,804","9,709","17,265","13,616","6,555","4,092","3,601"
ualad09:Darlington,"46,670",154,736,"3,831","9,393","12,139","10,265","4,781","2,876","2,495"
ualad09:County Durham,"223,803",281,"2,078","13,929","52,693","65,226","44,911","21,492","12,717","10,476"
ualad09:Hartlepool,"40,434",95,502,"3,456","8,535","10,786","8,563","3,953","2,354","2,190"
ualad09:Middlesbrough,"57,203",235,959,"5,029","10,087","18,630","12,446","5,130","2,691","1,996"
ualad09:Northumberland,"138,534",275,"1,611","10,068","28,562","34,943","27,142","15,046","10,106","10,781"
ualad09:Redcar and Cleveland,"59,605",114,625,"4,500","11,296","17,351","13,748","6,207","3,358","2,406"
ualad09:Stockton-on-Tees,"79,159",212,922,"5,890","12,586","22,799","17,618","8,816","5,438","4,878"
ualad09:Gateshead,"89,154",306,"1,657","8,702","25,235","24,835","15,409","6,985","3,486","2,539"
ualad09:Newcastle upon Tyne,"117,153",672,"3,527","12,460","29,594","29,965","19,980","10,009","5,880","5,066"
ualad09:North Tyneside,"91,295",206,"1,352","8,745","22,186","23,533","17,618","9,107","5,091","3,457"
ualad09:South Tyneside,"67,167",131,974,"6,683","15,948","20,188","13,251","5,448","2,708","1,836"
ualad09:Sunderland,"119,758",512,"1,805","11,529","28,646","33,768","23,743","10,665","5,380","3,710"
ualad09:Blackburn with Darwen,"57,353",220,"1,066","4,568","10,784","16,088","13,273","5,619","3,131","2,604"
ualad09:Blackpool,"64,367",557,"2,242","7,809","11,704","16,027","15,294","6,255","2,657","1,822"
ualad09:Cheshire East,"159,441",320,"1,942","10,905","25,464","37,094","31,450","19,791","14,844","17,631"
ualad09:Cheshire West and Chester,"141,442",430,"1,869","9,315","21,486","36,093","30,273","17,648","11,802","12,526"
ualad09:Halton,"53,312",93,694,"4,547","8,449","17,408","11,740","5,271","2,820","2,290"
ualad09:Warrington,"85,140",196,"1,317","7,455","12,450","22,886","18,618","9,714","6,393","6,111"
ualad09:Allerdale,"42,345",61,406,"2,073","7,507","12,012","9,237","4,833","3,076","3,140"
ualad09:Barrow-in-Furness,"31,224",45,418,"2,148","6,107","9,908","7,276","2,811","1,422","1,089"
ualad09:Carlisle,"48,342",180,720,"3,460","10,425","12,083","10,074","5,120","3,253","3,027"
ualad09:Copeland,"30,536",49,348,"1,317","5,323","9,613","6,675","3,238","1,972","2,001"
ualad09:Eden,"23,043",88,378,"1,137","3,617","5,078","4,670","3,300","2,314","2,461"
ualad09:South Lakeland,"46,552",125,923,"3,075","8,200","11,023","9,644","5,891","3,670","4,001"
ualad09:Bolton,"116,371",406,"2,392","11,282","26,695","30,913","23,317","10,431","5,980","4,955"
ualad09:Bury,"78,113",200,"1,280","6,602","15,965","20,530","16,743","8,208","4,684","3,901"
ualad09:Manchester,"204,969","2,424","11,445","34,381","41,139","56,417","35,749","12,704","6,163","4,547"
ualad09:Oldham,"89,703",209,"1,349","7,479","23,253","26,150","16,795","7,592","4,005","2,871"
ualad09:Rochdale,"87,552",303,"1,774","9,041","20,889","24,788","15,743","7,334","4,265","3,415"
ualad09:Salford,"103,556","1,149","3,443","13,849","22,410","27,970","20,362","7,397","3,789","3,187"
ualad09:Stockport,"121,979",357,"2,029","10,036","20,609","30,557","27,704","14,568","8,773","7,346"
ualad09:Tameside,"94,953",272,"1,700","9,016","23,542","28,189","18,340","7,556","3,836","2,502"
ualad09:Trafford,"94,484",391,"1,650","8,498","14,111","20,827","23,456","11,821","6,964","6,766"
ualad09:Wigan,"136,386",328,"1,648","10,198","25,673","42,926","30,770","13,018","7,024","4,801"
ualad09:Burnley,"37,550",80,618,"2,905","8,191","10,921","8,422","3,245","1,809","1,359"
ualad09:Chorley,"44,919",95,650,"2,871","7,119","11,793","9,797","5,495","3,622","3,477"
ualad09:Fylde,"34,885",125,707,"3,013","6,557","7,460","6,890","4,361","2,904","2,868"
ualad09:Hyndburn,"34,341",64,432,"2,634","6,557","11,211","7,842","2,957","1,551","1,093"
ualad09:Lancaster,"57,822",184,"1,150","5,172","11,270","14,322","12,542","6,298","3,630","3,254"
ualad09:Pendle,"37,348",65,620,"2,882","8,114","10,132","8,499","3,416","1,892","1,728"
ualad09:Preston,"57,567",382,"1,395","6,226","10,777","13,938","12,646","5,933","3,233","3,037"
ualad09:Ribble Valley,"24,045",82,305,"1,401","3,590","5,291","5,044","3,185","2,319","2,828"
ualad09:Rossendale,"29,058",47,432,"2,660","6,768","7,030","5,400","3,048","1,847","1,826"
ualad09:South Ribble,"46,102",70,401,"2,539","6,880","12,345","11,254","5,811","3,699","3,103"
ualad09:West Lancashire,"45,381",75,336,"2,940","5,849","12,109","9,814","6,036","4,146","4,076"
ualad09:Wyre,"47,281",140,641,"2,997","7,894","12,525","11,051","5,723","3,280","3,030"
