2011 census ks209ew - religion,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 9 May 2013],,,,,,,,,,,
,,,,,,,,,,,
population,All usual residents,,,,,,,,,,
units,Persons,,,,,,,,,,
date,2011,,,,,,,,,,
,,,,,,,,,,,
Area,All categories: Religion,Has religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
ualad09:Liverpool,"466,415","354,690","331,217","2,017","2,437","2,157","15,209",531,"1,122","82,701","29,024"
ualad09:Sefton,"273,790","213,561","210,184",504,525,486,"1,189",105,568,"43,196","17,033"
ualad09:St. Helens,"175,308","140,007","138,172",317,416,48,605,46,403,"25,653","9,648"
ualad09:Wirral,"319,783","229,934","225,147",905,742,265,"1,809",236,830,"68,209","21,640"
ualad09:East Riding of Yorkshire,"334,179","231,335","227,343",702,607,337,"1,309",174,863,"78,296","24,548"
"ualad09:Kingston upon Hull, City of","256,406","148,665","140,753",771,439,172,"5,447",289,794,"89,336","18,405"
ualad09:North East Lincolnshire,"159,616","99,656","96,836",347,386,64,"1,332",158,533,"48,476","11,484"
ualad09:North Lincolnshire,"167,446","115,407","110,554",381,445,48,"3,024",538,417,"40,176","11,863"
ualad09:York,"198,051","123,009","117,856","1,016",983,202,"2,072",133,747,"59,646","15,396"
ualad09:Craven,"55,409","38,243","37,301",134,65,16,506,34,187,"12,935","4,231"
ualad09:Hambleton,"89,140","65,427","64,692",135,93,45,234,5,223,"17,652","6,061"
ualad09:Harrogate,"157,869","110,461","108,289",414,236,334,573,82,533,"36,227","11,181"
ualad09:Richmondshire,"51,965","37,264","36,057",373,513,26,130,7,158,"11,120","3,581"
ualad09:Ryedale,"51,751","37,574","37,172",125,20,15,57,5,180,"10,354","3,823"
ualad09:Scarborough,"108,793","74,034","72,544",295,167,67,551,8,402,"26,665","8,094"
ualad09:Selby,"83,449","59,814","59,182",133,87,60,95,51,206,"18,070","5,565"
ualad09:Barnsley,"231,221","160,677","158,287",344,232,49,945,197,623,"55,536","15,008"
ualad09:Doncaster,"302,402","208,025","199,320",683,881,79,"4,990","1,140",932,"73,656","20,721"
ualad09:Rotherham,"257,280","182,467","171,068",401,433,63,"9,614",293,595,"57,783","17,030"
ualad09:Sheffield,"552,698","342,598","290,299","2,282","3,566",747,"42,801",942,"1,961","172,516","37,584"
ualad09:Bradford,"522,452","381,876","239,843","1,000","4,882",299,"129,041","5,125","1,686","108,027","32,549"
